Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName]（遺伝子組換え）：[Number][Unit]（[Number][Unit]）中<BR>[Number][Unit]<<BR>>[ActIngreName]：[ActIngreName]<BR>[Number]：[Number],52,79,1,8,Cluster  8
[BrandName]は[Color]の[CaseName]に高カロリー輸[Form]用混合[ActIngreName]剤を充填した[Form]製品で[Number][Unit]（[Number][Unit]）中[DrugParts]部（[Number][Unit]）及び[DrugParts]部（[Number][Unit]）のそれぞれに下記の成分を含有する<<BR>>[CaseName][DrugParts]部：有効成分（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]）：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit]<<BR>>[CaseName][DrugParts]部：有効成分（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]（[ActIngreName]）：[Number][Unit][ActIngreName]（[ActIngreName]）：[Number][Unit][ActIngreName]（[ActIngreName]）：[ActIngreName]として[Number][Unit][ActIngreName]（[ActIngreName]）：[ActIngreName]として[Number][Unit][ActIngreName]（[ActIngreName]）：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[ActIngreName]として[Number][Unit][ActIngreName]（[ActIngreName]）：[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[Color]の[CaseName]に高カロリー輸[Form]用混合[ActIngreName]剤を充填した[Form]製品で[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[ActIngreName]として[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[DrugParts]と[DrugParts]がコネクターで仕切られた[CaseName][Form][CaseName]及び医薬品ワクチン注入用針から構成される[Form]製品であり[CaseName][Form]にはそれぞれ下記成分を含有する<<BR>>[Number][Unit]中：[CaseName][DrugParts]（[Form]）有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],87,77,3,8,Cluster  8
[BrandName]は[DrugParts]と[DrugParts]がコネクターで仕切られた[CaseName][Form]であり下記の成分を含有する<<BR>>[Number][Unit]中：[CaseName][DrugParts]（[Form]）有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[DrugParts]と[DrugParts]がコネクターで仕切られた[CaseName][Form]であり下記の成分を含有する<<BR>>[Number][Unit]中：[CaseName][DrugParts]（[Form]）有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[DrugParts]と[DrugParts]がコネクターで仕切られた[CaseName][Form]を医薬品ペン型注入器にセットした[Form]製品であり[CaseName][Form]には下記の成分を含有する<<BR>>[Number][Unit]中：[CaseName][DrugParts]（[Form]）有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[DrugParts]と[DrugParts]がコネクターで仕切られた[CaseName][Form]を医薬品ペン型注入器にセットした[Form]製品であり[CaseName][Form]には下記の成分を含有する<<BR>>[Number][Unit]中：[CaseName][DrugParts]（[Form]）有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit],87,77,1,8,Cluster  8
[BrandName]は[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）［[ActIngreName]］[Number][Unit]（[Unit]）<<BR>>本剤の有効成分[ActIngreName]（遺伝子組換え）［[ActIngreName]］はチャイニーズハムスター卵巣細胞で生産される,41,75,6,8,Cluster  8
[BrandName]は[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>>本剤の有効成分[ActIngreName]（遺伝子組換え）はチャイニーズハムスター卵巣細胞で生産される,41,75,14,8,Cluster  8
[BrandName]は[Number][Unit]（[Number][Unit]）中に次の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>>本剤の有効成分[ActIngreName]（遺伝子組換え）はチャイニーズハムスター卵巣細胞で生産される,41,75,7,8,Cluster  8
[BrandName]：本剤は[ActIngreName]（[ActIngreName]（遺伝子組換え））の[Form]であり[Number][Unit][Number][Unit]中に[ActIngreName]（遺伝子組換え）[Number][Unit]を含有する本剤はチャイニーズハムスター卵巣細胞を用いて製造されるセルバンク作製時においてウシの血清由来成分（ウシ胎児血清）また製造工程においてウシの血清由来成分（ウシ胎児血清ウシトランスフェリン）ブタの膵臓由来成分（ブタ[ActIngreName]）を培地成分として使用している,79,76,3,8,Cluster  8
[BrandName]：本剤は[ActIngreName]（[ActIngreName]（遺伝子組換え））の[Form]であり適用に際して専用のペン型注入器を用いる[CaseName]製剤である[CaseName]製剤には[Number][Unit]及び[Number][Unit]の[Number]種類がありこれらは同一濃度で容れ目違い製品である各[CaseName]中にそれぞれ下記の成分分量を含有する<<BR>>成分名：[ActIngreName]（遺伝子組換え）<BR>含量及び分量（[Number][Unit]中）：[Number][Unit]及び[Number][Unit]<<BR>><BR>本剤はチャイニーズハムスター卵巣細胞を用いて製造されるセルバンク作製時においてウシの血清由来成分（ウシ胎児血清）また製造工程においてウシの血清由来成分（ウシ胎児血清ウシトランスフェリン）ブタの膵臓由来成分（ブタ[ActIngreName]）を培地成分として使用している,79,76,2,8,Cluster  8
[Number][Unit]は下記の組合せよりなる．[Number][Unit]中<<BR>>名称<BR>[ActIngreName][Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<BR>有効成分：[ActIngreName]（遺伝子組換え）：[Number][Unit]<<BR>>名称<BR>[Form]調製用[ActIngreName][Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<<BR>>名称<BR>[Form]調製用緩衝[Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<<BR>>名称<BR>[Form][CaseName]<<BR>>容量：[Number][Unit]中の成分含量<BR>内容物を含まない無菌のガラス[CaseName]（[Number][Unit]）<<BR>>名称<BR>放射性医薬品基準塩化イットリウム（[Number]Ｙ）[Form]<<BR>>容量<BR>[Number][Unit]<<BR>>[Number][Unit]中の成分含量<BR>有効成分：塩化イットリウム（[Number]Ｙ）：[Number][Unit]（検定日時）<<BR>>本品はチャイニーズハムスター卵巣細胞を用いて製造される．製造工程において培地成分として[ActIngreName]（遺伝子組換え）精製カラムの充填剤としてプロテインＡ（遺伝子組換え）を使用している．,41,75,1,8,Cluster  8
[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]本剤の有効成分[ActIngreName]（遺伝子組換え）はチャイニーズハムスター卵巣細胞で生産される,41,75,8,8,Cluster  8
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,1,8,Cluster  8
[Number][Unit]中：有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]（[DrugParts]）<<BR>>各製剤には,52,79,3,8,Cluster  8
容量<BR>[Number][Unit]<<BR>>[ActIngreName]（遺伝子組換え）<BR>[Number][Unit]<<BR>>識別（[DrugParts]の色）<BR>[Color],77,74,1,8,Cluster  8
容量<BR>[Number][Unit]<<BR>>[ActIngreName]（遺伝子組換え）<BR>[Number][Unit]<<BR>>識別（[DrugParts]の色）<BR>黄緑,77,74,1,8,Cluster  8
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[ActIngreName]（遺伝子組換え）（[Number][Unit]中）（[ActIngreName]：[ActIngreName]）<BR>[Number][Unit]注[Number]）（[Number]：[Number]）<<BR>><BR>注[Number]）[Number][Unit]は[Number][Unit]ｏｌに相当本剤の単位は＄であるが[ActIngreName][Number][Unit]は[ActIngreName]（遺伝子組換え）の[Number][Unit]と同等である<<BR>>識別（[DrugParts]の色）<BR>ロイヤルブルー,15,73,1,8,Cluster  8
形態：<BR>[CaseName]<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit],52,79,2,8,Cluster  8
形態：<BR>[CaseName]<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit]（[Number][Unit][ActIngreName][ActIngreName]＋[Number][Unit]中間型[ActIngreName][ActIngreName]）,44,78,2,8,Cluster  8
形態：<BR>[CaseName]<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,2,8,Cluster  8
形態：<BR>[CaseName]<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>含有比：<BR>速効型[Form]溶性[ActIngreName]：中間型[ActIngreName]＝[Number]：[Number],44,78,1,8,Cluster  8
形態：<BR>[CaseName]<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]専用注入器装着時[Number][Unit]まで使用できる,44,78,2,8,Cluster  8
形態：<BR>[Form]（[CaseName]製剤をあらかじめ[ActIngreName]ペン型注入器に装填した使い捨て型[Form]）<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit],44,78,2,8,Cluster  8
形態：<BR>[Form]（[CaseName]製剤をあらかじめ[ActIngreName]ペン型注入器に装填した使い捨て型[Form]）<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit]（[Number][Unit][ActIngreName][ActIngreName]＋[Number][Unit]中間型[ActIngreName][ActIngreName]）,44,78,2,8,Cluster  8
形態：<BR>[Form]（[CaseName]製剤をあらかじめ[ActIngreName]ペン型注入器に装填した使い捨て型[Form]）<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],44,78,2,8,Cluster  8
形態：<BR>[Form]（[CaseName]製剤をあらかじめ[ActIngreName]ペン型注入器に装填した使い捨て型[Form]）<<BR>>成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>含有比：<BR>速効型[Form]溶性[ActIngreName]：中間型[ActIngreName]＝[Number]：[Number],44,78,1,8,Cluster  8
成分含有量（[Number][Unit]中）有効成分<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される製造工程の培地成分としてブタの胃組織由来成分（ペプトン）を使用している,41,75,2,8,Cluster  8
成分含有量（[Number][Unit]中）：有効成分<BR>[Number][Unit]中：[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される製造工程の培地成分としてブタの胃組織由来成分（ペプトン）を使用している,41,75,2,8,Cluster  8
成分含有量：有効成分：[Number][Unit]中<BR>[ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される,41,75,3,8,Cluster  8
成分含有量：有効成分：[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]（[Unit]）<<BR>>注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造される<<BR>>注[Number]）必要に応じて添加,41,75,13,8,Cluster  8
成分含量（[Number][Unit]中）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,6,8,Cluster  8
成分含量（[Number][Unit]中）<BR>[ActIngreName]（遺伝子組換え）として[Number][Unit]）<<BR>>本剤の有効成分である[ActIngreName]（遺伝子組換え）は製造工程でチャイニーズハムスター卵巣細胞ウシ血清（ニュージーランド産又はオーストラリア産）抗[ActIngreName]マウスモノクローナル抗体を使用している<<BR>>ａ）国立医薬品食品衛生研究所と旭化成ファーマ（株）にて統一化された活性単位を使用[Number]）,79,76,1,8,Cluster  8
成分含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]注[Number]）本剤はチャイニーズハムスター卵巣細胞を用いて製造されるマスターセルバンク構築時にはウシの血清由来成分（ウシ胎児血清及びフェツイン）を使用しているまた製造工程において培地成分としてウシの乳由来成分（Ｄ－[ActIngreName]）を使用している,79,76,2,8,Cluster  8
成分含量（[Number][Unit]中）：<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit],52,79,1,8,Cluster  8
成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,3,8,Cluster  8
成分含量（[Number][Unit]中）：<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>含有比：<BR>速効型[Form]溶性[ActIngreName]：中間型[ActIngreName]＝[Number]：[Number],44,78,1,8,Cluster  8
成分（[Number][Unit]（[Number][Unit]）中）：有効成分：[ActIngreName]（遺伝子組換え）注[Number]）<BR>[Number][Unit]中の含量：[Number][Unit]注[Number]）<<BR>>注[Number]）チャイニーズハムスター卵巣細胞から製造される<<BR>>注[Number]）[Number][Unit]（Ｕ）に相当[ActIngreName]（遺伝子組換え）[Number]Ｕは[ActIngreName]基質[Number]－メチルウンベリフェリル硫酸を[Number][Unit][Number][Unit]で[Number][Unit]加[Form]分解する単位,41,75,1,8,Cluster  8
有効成分<BR>[ActIngreName][ActIngreName]（遺伝子組換え）[Number][Unit][Number]<<BR>><BR>[Number]：[Number][Unit]を[ActIngreName][Number][Unit]に溶解した時の[Number][Unit]中<<BR>><BR>[Number]：チャイニーズハムスター卵巣細胞により産生本剤は製造工程でドナー子ウシ血清を使用している,79,76,2,8,Cluster  8
有効成分<BR>[ActIngreName]（遺伝子組換え）<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit],52,79,3,8,Cluster  8
有効成分<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,1,8,Cluster  8
有効成分[Number][Unit]（[Number][Unit]）中の分量<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]注[Number]）マウス[ActIngreName]ブリドーマ細胞株を用いて製造されるマスターセルバンク及びワーキングセルバンク構築時にウシ胎児血清を使用しているまた製造工程において培地成分としてウシ血清由来成分（[ActIngreName]及びリポたん白質）を使用している,79,76,1,8,Cluster  8
有効成分[Number][Unit]（[Number][Unit]）中の分量<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]注[Number]）本剤は遺伝子組換え技術によりチャイニーズハムスター卵巣細胞を用いて製造される,41,75,1,8,Cluster  8
有効成分（[Number][Unit]中）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,3,8,Cluster  8
有効成分（[Number][Unit]中）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>本剤は培養工程の培地成分として[ActIngreName]（遺伝子組換え）及びウシの血[Form]由来成分（トランスフェリンウシ血清[ActIngreName]）を使用しまた宿主細胞としてチャイニーズハムスターの卵巣に由来するＣＨＯ細胞を使用している[ActIngreName]（遺伝子組換え）は酵母により産生されそのマスターセルバンク保存[Form]中にウシ乳由来のペプチケースウシ骨格筋由来のビーフ[Form]ウシの胆汁結合組織皮膚頭蓋脊椎を含まない骨（脊柱は含まれる）に由来するペプトンを含みその製造においてブタ膵[Form]由来成分（トリプシン）を使用しているウシの牛脂由来成分であるポリソルベート[Number]は製造工程において及び製剤の,79,76,2,8,Cluster  8
有効成分（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit],52,79,8,8,Cluster  8
有効成分：[ActIngreName][ActIngreName]（遺伝子組換え）<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit],52,79,3,8,Cluster  8
有効成分：[ActIngreName]（遺伝子組換え）<BR>[CaseName]（[Number][Unit]容器）：[Number][Unit],52,79,2,8,Cluster  8
有効成分：[ActIngreName]（遺伝子組換え）<BR>[Number][Unit]中の含有量[Number][Unit]ただし本剤の調製方法に基づき[ActIngreName][Number][Unit]に溶解した[Form][Number][Unit]中に含まれる量は[Number][Unit]である<<BR>>本剤の有効成分である[ActIngreName]（遺伝子組換え）はヒト化マウスモノクローナル抗体である[ActIngreName]（遺伝子組換え）の製造工程においてブタペプトン（胃）を使用している<<BR>>本剤溶解後の[Form]は粘性があるため[Form]吸引時の損失を考慮し[Number][Unit]から[Number][Unit]を注射するに足る量を確保するために過量充填されている,41,75,1,8,Cluster  8
有効成分：[ActIngreName]（遺伝子組換え）<BR>[Number][Unit]（[Number][Unit]）中の分量：[Number][Unit],52,79,4,8,Cluster  8
有効成分：[Number][Unit]中の含量<BR>[ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]注[Number]）<<BR>>注[Number]）チャイニーズハムスター卵巣細胞により産生本剤は製造工程でウシ胎児血清及びブタ膵臓由来トリプシンを使用している<<BR>>注[Number]）[Number][Unit]（Ｕ）に相当[ActIngreName]（遺伝子組換え）[Number]Ｕは[ActIngreName]基質[Number]－メチルウンベリフェリルイズロニドを[Number][Unit]に[Number][Unit]加[Form]分解する単位,79,76,1,8,Cluster  8
有効成分：成分名：[ActIngreName]（遺伝子組換え）<BR>含量：[Number][Unit],52,79,4,8,Cluster  8
有効成分：成分名：[ActIngreName]（遺伝子組換え）<BR>含量：[Number][Unit]備考：専用の成長ホルモン注入器を用いて使用するとき[Number][Unit]まで使用できる,52,79,1,8,Cluster  8
有効成分：成分名：[ActIngreName]（遺伝子組換え）<BR>含量：[Number][Unit]製剤（[Number][Unit]中）：[Number][Unit],52,79,3,8,Cluster  8
本剤は国内で製剤化した[Form]であり[Number][Unit]中（[DrugParts]と[DrugParts]を[Form]ケットで仕切られた[CaseName]）に下記成分を含有する<<BR>>有効成分<BR>[ActIngreName]（遺伝子組換え）[Number][Unit][CaseName][DrugParts]（[Form]）<<BR>>専用注入器の使用により[Number][Unit]まで使用できます,87,77,1,8,Cluster  8
本製品は[BrandName]の[CaseName]及び[CaseName]からなる<<BR>>有効成分（[Number][Unit]中の分量）<BR>[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>[CaseName]：[Number][Unit]<<BR>>本剤はチャイニーズハムスター卵巣細胞を用いて製造される培養工程で遺伝子組換え[ActIngreName]を使用しておりまた遺伝子組換え[ActIngreName]の精製工程においてブタすい臓由来トリプシンを使用している,41,75,1,8,Cluster  8
組成<BR>[Number][Unit]中（[ActIngreName][Number][Unit]で溶解した[Number][Unit]中）<<BR>>有効成分（[Number][Unit]中の含量）<BR>[ActIngreName]（遺伝子組換え）注[Number]）[Number][Unit]注[Number]）<<BR>>ｐＨ調整剤（[Number][Unit]中の含量）<BR>[ActIngreName]適量<<BR>>注[Number]）チャイニーズハムスター卵巣細胞により産生<BR>本剤は製造工程でドナー仔牛血清を使用しているまたセルバンク調製時にブタの膵臓由来のトリプシン及びウシ胎仔血清を使用した<<BR>>注[Number]）[ActIngreName]（遺伝子組換え）[Number][Unit]：<BR>[ActIngreName]基質ｐ－ニトロフェニル－β－Ｄ－グルコピラノシドを[Number][Unit]で[Number][Unit]に[Number][Unit]分解する単位,79,76,1,8,Cluster  8
組成[Number][Unit]中<BR>[ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]<<BR>>有効成分：[Number][Unit]中の含量<BR>[ActIngreName]：[Number][Unit][ActIngreName][Form]素二[ActIngreName]七[Form]和物：[Number][Unit][ActIngreName]：[Number][Unit]ポリソルベート[Number]：[Number][Unit],52,79,1,8,Cluster  8
組成（[Number][Unit]（[Number][Unit]）中）<BR>[ActIngreName]（遺伝子組換え）注[Number]）：[Number][Unit]<<BR>>有効成分：[Number][Unit]中の含量<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]一[Form]素[ActIngreName]七[Form]和物：[Number][Unit]ポリソルベート[Number]：[Number][Unit],52,79,1,8,Cluster  8
識別（[DrugParts]の色）<BR>[Color]<<BR>>[ActIngreName]（遺伝子組換え）：含有量（容量）<BR>[Number][Unit]（[Number][Unit]）<<BR>>[ActIngreName]（遺伝子組換え）：[ActIngreName]：[ActIngreName]<BR>[Number]：[Number],77,74,3,8,Cluster  8
[BrandName]は[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する<<BR>><BR>本剤は,21,86,2,10,Cluster  10
[BrandName]は[Number][Unit]中に[ActIngreName]（遺伝子組換え）[Number][Unit]を含有する本剤には,21,86,1,10,Cluster  10
[BrandName]は[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number][Unit]<<BR>>なお本剤は[ActIngreName]を塩酸塩として含有する,23,83,2,10,Cluster  10
[BrandName]は[Number][Unit]中に次の成分を含有する<<BR>>有効成分含有量<BR>[ActIngreName][Number][Unit]なお本剤は[ActIngreName]を塩酸塩として含有する,19,82,2,10,Cluster  10
[BrandName]（親[Form]性[Form]）：本剤[Number][Unit]中に[ActIngreName][Number][Unit]を含有,21,86,1,10,Cluster  10
[Number][Unit]中[ActIngreName][Number][Unit]を含有する本剤は,21,86,2,10,Cluster  10
[Number][Unit]中[ActIngreName]含量<BR>[Number][Unit]<<BR>>[Number][Unit]中[ActIngreName]数<BR>[Number][Unit]<<BR>>本剤には製造工程中に使用したペプチド化した脱脂粉乳が残存する,67,87,1,10,Cluster  10
[Number][Unit]中に[ActIngreName][Number][Unit]を含有する剤皮を施した[Color]の[Form]である,80,85,1,10,Cluster  10
[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する<<BR>><BR>本剤は,21,86,2,10,Cluster  10
[Number][Unit]中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit]<<BR>>本剤には,19,82,1,10,Cluster  10
[Number][Unit]吸入量（容器から放出される量）注[Number]）：<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]<<BR>>注[Number]）本剤とパルミコートタービュヘイラー（本剤の成分の[Number]つである[ActIngreName]製剤）の用量対応表を【参考】に記載した<<BR>>注[Number]）[ActIngreName]として乳蛋白を含む,63,81,2,10,Cluster  10
[Number]．組成<BR>本剤[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）,67,87,2,10,Cluster  10
主として麦芽から製したものででんぷん消化力がある[Form]である通例適当な賦形剤で薄めてある,69,84,1,10,Cluster  10
剤形<BR>[Form]<<BR>>有効成分<BR>[ActIngreName][Number][Unit]中の含有量[Number][Unit]「[ActIngreName]」[Number][Unit]で溶解した[Form][Number][Unit]に含まれる量[Number][Unit]<<BR>>本剤は上記成分を含む凍結乾燥品であり「[ActIngreName]」[Number][Unit]で溶解したときの[ActIngreName]濃度は[Number][Unit]である,19,82,1,10,Cluster  10
成分[Number][Unit]中<BR>本剤は以下の成分を含有する脂肪[Form]である有効成分[ActIngreName][Number][Unit],19,82,3,10,Cluster  10
成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit][ActIngreName]：[Number][Unit]<<BR>>本剤は,67,87,1,10,Cluster  10
成分分量<BR>本剤は[Number][Unit]中[ActIngreName][Number][Unit]を含有する,19,82,1,10,Cluster  10
成分含量注[Number]）<BR>[Number][Unit]（[Number][Unit]）中の含有量：[ActIngreName]（遺伝子組換え）[Number][Unit][Number][Unit]の投与量である[Number][Unit]中の含有量：[ActIngreName]（遺伝子組換え）[Number][Unit]<<BR>>注[Number]）本剤は[Form]吸引時の損失を考慮して過量充填されている,63,81,1,10,Cluster  10
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（本剤は化学的に安定なため安定剤は添加されていない）,67,87,1,10,Cluster  10
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[Fomula]）[Number][Unit]［本剤[Number][Unit]（[Number][Unit]）中に[ActIngreName]（[Fomula]）[Number][Unit]を含有する］,19,82,1,10,Cluster  10
成分含量（[Number][Unit]中）：<BR>[ActIngreName][Number][Unit]<<BR>>[Number][Unit]吸入量（容器内で量り取られる量）注[Number]）：<BR>[ActIngreName][Number][Unit]<<BR>>注[Number]）本剤とシムビコートタービュヘイラー（本剤の成分である[ActIngreName]と長時間作動型β[Number]刺激剤の配合剤）の用量対応表を【参考】に記載した,63,81,3,10,Cluster  10
有効成分<BR>[ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>>元素量<BR>[ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（Ｉ）[Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>><BR>本剤の添加物である[ActIngreName]は魚類の軟骨を原料としている,19,82,1,10,Cluster  10
有効成分<BR>[ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName][Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>>元素量<BR>[ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（[Fomula]）[Number][Unit]（[Number][Unit]）中：[Number][Unit][ActIngreName]（Ｉ）[Number][Unit]（[Number][Unit]）中：[Number][Unit]<<BR>><BR>本剤の添加物である[ActIngreName]は魚類の軟骨を原料としている,19,82,1,10,Cluster  10
有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]相当量：[Number][Unit]）<<BR>>本剤には,19,82,1,10,Cluster  10
有効成分：本剤[Number][Unit]中[ActIngreName][Number][Unit],19,82,1,10,Cluster  10
本剤[Number][Unit]中<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]含有）[ActIngreName][Number][Unit],21,86,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit],67,87,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]適量を含有する,21,86,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む,67,87,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,21,86,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む,67,87,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][Number][Unit][ActIngreName]を含む,67,87,2,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit]の[Number][Unit][ActIngreName]を含む,67,87,1,10,Cluster  10
本剤[Number][Unit]中[ActIngreName][Number][Unit]を含む,67,87,22,10,Cluster  10
